Ticker,Open,High,Low,Close,Adj Close,Volume,PL%,pos_rate%
MFG,4.230000019073486,4.335100173950195,4.230000019073486,4.324999809265137,4.324999809265137,824534,5.328,100.0
EQIX,756.3400268554688,767.1500244140625,751.0499877929688,756.64501953125,756.64501953125,454446,5.296,100.0
FDS,408.9800109863281,416.5299987792969,406.8900146484375,414.2799987792969,414.2799987792969,373445,6.758,100.0
ZBRA,308.82000732421875,313.04998779296875,303.3599853515625,309.2799987792969,309.2799987792969,317483,8.209999999999999,100.0
SJM,109.41000366210938,111.37000274658205,109.0999984741211,109.95999908447266,109.95999908447266,1463044,2.192,100.0
WELL,104.23999786376952,104.81500244140624,102.94000244140624,104.57659912109376,104.57659912109376,3178410,2.94,100.0
MO,45.900001525878906,46.41999816894531,45.75,45.970001220703125,45.970001220703125,7745336,2.266,100.0
ZTS,173.25999450683594,175.99000549316406,172.0,173.66000366210938,173.66000366210938,2369421,7.1,100.0
ICE,138.64999389648438,140.4550018310547,136.25,140.43499755859375,140.43499755859375,3508050,3.662,100.0
AAPL,212.08999633789065,218.83999633789065,211.9199981689453,218.69000244140625,218.69000244140625,72309418,9.428,100.0
AKAM,90.16999816894533,90.72000122070312,89.0199966430664,90.18000030517578,90.18000030517578,1036119,3.8339999999999996,100.0
KLAC,823.1900024414062,837.5,807.8300170898438,829.8900146484375,829.8900146484375,642691,8.16,100.0
ILMN,104.19000244140624,108.43000030517578,103.56999969482422,107.11000061035156,107.11000061035156,2802391,6.386,100.0
ADBE,551.3699951171875,567.47998046875,549.72998046875,563.75,563.75,3583028,7.1819999999999995,100.0
SNPS,594.7899780273438,607.7750244140625,588.8300170898438,603.0800170898438,603.0800170898438,798494,6.8180000000000005,100.0
LNT,51.08000183105469,51.58000183105469,50.52999877929688,51.25,51.25,1780793,4.720000000000001,100.0
AVGO,1608.199951171875,1648.75,1593.5,1636.868408203125,1636.868408203125,6001457,3.808,100.0
GNRC,133.38999938964844,137.17999267578125,132.63999938964844,136.51499938964844,136.51499938964844,1144577,10.294,100.0
MS,97.5199966430664,99.43499755859376,97.44000244140624,98.9749984741211,98.9749984741211,8766996,4.84,100.0
MMC,211.16000366210935,211.9900054931641,209.58999633789065,211.4850006103516,211.4850006103516,1551561,3.8480000000000003,100.0
GOOGL,183.02999877929688,184.0,181.3000030517578,183.3000030517578,183.3000030517578,21969529,6.95,100.0
GOOG,184.47999572753903,185.5,182.72999572753903,184.7700042724609,184.7700042724609,15312445,6.37,100.0
PLD,112.0,113.58000183105467,111.0500030517578,113.30999755859376,113.30999755859376,2657885,7.202,100.0
